date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:14	88104/88104	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:14%20GMT	https://herfybd.com/item/10	C:/My%20Web%20Sites/naya/herfybd.com/item/10.html	(from https://herfybd.com/)
22:20:16	28740/28740	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:34:52%20GMT	https://herfybd.com/assets/image/small/combo_chilli_chicken.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_chilli_chicken.png	(from https://herfybd.com/)
22:20:16	88792/88792	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:15%20GMT	https://herfybd.com/item/3	C:/My%20Web%20Sites/naya/herfybd.com/item/3.html	(from https://herfybd.com/)
22:20:16	28528/28528	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:33:50%20GMT	https://herfybd.com/assets/image/small/combo_cheese_burger.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_cheese_burger.png	(from https://herfybd.com/)
22:20:16	87343/87343	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:16%20GMT	https://herfybd.com/item/2	C:/My%20Web%20Sites/naya/herfybd.com/item/2.html	(from https://herfybd.com/)
22:20:17	26830/26830	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:41:02%20GMT	https://herfybd.com/assets/image/small/combo_veggi_burger.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_veggi_burger.png	(from https://herfybd.com/)
22:20:17	89683/89683	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:17%20GMT	https://herfybd.com/item/4	C:/My%20Web%20Sites/naya/herfybd.com/item/4.html	(from https://herfybd.com/)
22:20:17	154386/154386	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Oct%202018%2012:09:46%20GMT	https://herfybd.com/assets/uploads/background-offers-slider-bg.jpg	C:/My%20Web%20Sites/naya/herfybd.com/assets/uploads/background-offers-slider-bg.jpg	(from https://herfybd.com/)
22:20:18	23262/23262	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Dec%202018%2011:18:47%20GMT	https://herfybd.com/assets/image/small/angus_burger_combo.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/angus_burger_combo.png	(from https://herfybd.com/)
22:20:18	91137/91137	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:17%20GMT	https://herfybd.com/item/7	C:/My%20Web%20Sites/naya/herfybd.com/item/7.html	(from https://herfybd.com/)
22:20:18	21289/21289	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Dec%202018%2011:18:50%20GMT	https://herfybd.com/assets/image/small/Super-Angus.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/Super-Angus.png	(from https://herfybd.com/)
22:20:18	90326/90326	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:18%20GMT	https://herfybd.com/item/5	C:/My%20Web%20Sites/naya/herfybd.com/item/5.html	(from https://herfybd.com/)
22:20:18	27715/27715	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:40:32%20GMT	https://herfybd.com/assets/image/small/combo_turky_burger.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_turky_burger.png	(from https://herfybd.com/)
22:20:19	88164/88164	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:18%20GMT	https://herfybd.com/item/16	C:/My%20Web%20Sites/naya/herfybd.com/item/16.html	(from https://herfybd.com/)
22:20:19	26736/26736	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:38:50%20GMT	https://herfybd.com/assets/image/small/combo_super_fish_fillet.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_super_fish_fillet.png	(from https://herfybd.com/)
22:20:19	90040/90040	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:19%20GMT	https://herfybd.com/item/17	C:/My%20Web%20Sites/naya/herfybd.com/item/17.html	(from https://herfybd.com/)
